name,city,type,beds,rating,specialties,nabh,address,source
Lokmanya Hospital Nigdi,Pimpri-Chinchwad,Private,110,4.3,Orthopedics | Joint Replacement | Spine | Sports Medicine | Trauma,true,"Sector 27, Lokmanya Tilak Road, Pradhikaran, Nigdi, Pimpri-Chinchwad 411044",https://wibest.in/hospitals/pimpri-chinchwad/
Dr D Y Patil Hospital and Research Centre,Pimpri-Chinchwad,Private,1800,4.2,Cardiology | Cardiac Surgery | Neurology | Oncology | Orthopedics | Nephrology | Kidney Transplant | Gastroenterology | Paediatrics,true,"Sant Tukaram Nagar, Pimpri, Pune 411018",https://wibest.in/hospitals/pimpri-chinchwad/
Lifepoint Multispeciality Hospital,Pimpri-Chinchwad,Private,100,4.2,Cardiology | Orthopedics | Neurology | Gastroenterology | Gynaecology | Critical Care,true,"Survey No 145/1, Mumbai Bangalore Highway, Near Sayaji Hotel, Wakad, Pune 411057",https://wibest.in/hospitals/pimpri-chinchwad/
7 Orange Hospital,Pimpri-Chinchwad,Private,100,4.3,Cardiology | Cardiac Surgery | Critical Care | Orthopedics | General Medicine,true,"Pawana Nagar Housing Society, Next to Jain School, Chinchwad, Pimpri-Chinchwad 411033",https://wibest.in/hospitals/pimpri-chinchwad/
Aditya Birla Memorial Hospital,Pimpri-Chinchwad,Trust,500,4.4,Cardiology | Cardiac Surgery | Oncology | Neurosciences | Orthopedics,true,"Aditya Birla Hospital Marg, Thergaon, Pimpri-Chinchwad 411033",https://wibest.in/hospitals/pimpri-chinchwad/
D Y Patil Hospital Pimpri,Pimpri-Chinchwad,Trust,1300,4.2,Cardiology | Neurosciences | Oncology | Nephrology | Orthopedics,true,"Sant Tukaram Nagar, Pimpri 411018",https://wibest.in/hospitals/pimpri-chinchwad/
Lokmanya Hospital Pune,Pimpri-Chinchwad,Private,175,4.3,Orthopedics | Joint Replacement | Cardiology | Neurology | Spine Surgery,true,"Plot 314, Telco Road, Chinchwad 411033",https://wibest.in/hospitals/pimpri-chinchwad/
Niramaya Hospital,Pimpri-Chinchwad,Private,140,4.2,Cardiology | Critical Care | Orthopedics | Gynaecology | Internal Medicine,true,"Chinchwad Station Road, Chinchwad 411033",https://wibest.in/hospitals/pimpri-chinchwad/
