name,city,type,beds,rating,specialties,nabh,address,source
MGM New Bombay Hospital,Navi Mumbai,Trust,400,4.1,Cardiology | Neurosciences | Oncology | Orthopedics | Nephrology | Paediatrics,,"Plot No 35, Sector 3, Vashi, Navi Mumbai 400703",https://wibest.in/hospitals/navi-mumbai/
Fortis Hiranandani Hospital Vashi,Navi Mumbai,Private,149,4.3,Cardiology | Neurosciences | Oncology | Orthopedics | Renal Sciences | Kidney Transplant,,"Mini Sea Shore Road, Sector 10A, Vashi, Navi Mumbai 400703",https://wibest.in/hospitals/navi-mumbai/
